term,normalized_term,semantic_hint,category,source_name,source_url,source_family,source_authority_level,source_attested,derived_variant,parent_term,collision_risk,notes,source_id,acronym,acronym_expansion,source_tier,license_status,retrieval_date,census_attested,legal_overlap,higher_ed_overlap,finance_accounting_tax_overlap,known_overlap_families
12-month period,12-month period,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
401(k) plan,401(k) plan,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
abuse of authority,abuse of authority,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
accession,accession,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,MEDIUM,Single-token term; context remains important.,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
ADA,ada,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,HIGH,Acronym/initialism; may have unrelated expansions in other domains.,,ADA,,A,US federal government source; short terminology/provenance only,2026-08-10,True,False,False,False,census
adverse action,adverse action,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
adverse action,adverse action,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
agency action,agency action,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
Americans with Disabilities Act,americans with disabilities act,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
annual leave,annual leave,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
appeal,appeal,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,True,False,True,legal|finance_accounting_tax
appellant,appellant,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,True,False,False,legal
appointment,appointment,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
arbitration,arbitration,LABOR_RELATIONS_CONCEPT,federal_labor_relations,Federal Labor Relations Authority — Federal Service Labor-Management Relations Statute,https://www.flra.gov/resources-training/resources/statute-and-regulations/statute/statute-subchapter-i-general-2,FLRA,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government/statutory source; short terminology/provenance only,2026-08-10,False,True,False,True,legal|finance_accounting_tax
arbitrator,arbitrator,LABOR_RELATIONS_CONCEPT,federal_labor_relations,Federal Labor Relations Authority — Federal Service Labor-Management Relations Statute,https://www.flra.gov/resources-training/resources/statute-and-regulations/statute/statute-subchapter-i-general-2,FLRA,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government/statutory source; short terminology/provenance only,2026-08-10,False,True,False,False,legal
assessing,assessing,PERFORMANCE_CONCEPT,performance_management,OPM Performance Management,https://www.opm.gov/policy-data-oversight/performance-management/,OPM_PERFORMANCE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
backpay,backpay,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,MEDIUM,Single-token term; context remains important.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
bargain in good faith,bargain in good faith,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
