term,normalized_term,semantic_hint,source_domain,source_name,source_url,source_family,source_authority_level,source_attested,derived_variant,parent_term,collision_risk,notes,source_id,acronym,acronym_expansion
12b-1 fee,12b-1 fee,REGULATORY_TERM,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,LOW,,,,
529 plan,529 plan,ACCOUNT_TYPE,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,LOW,,,,
ability to pay,ability to pay,TAX_CONCEPT,TAX,IRS Understanding Taxes – Glossary,https://apps.irs.gov/app/understandingTaxes/student/glossary.jsp,IRS,US_FEDERAL_TAX_AUTHORITY,True,False,,LOW,,,,
ABLE account,able account,ACCOUNT_TYPE,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,MEDIUM,,,,
ABS,abs,FINANCIAL_INSTRUMENT,FINANCE,Federal Reserve Acronym Glossary,https://www.federalreserve.gov/regreform/acronym.htm,FEDERAL_RESERVE,US_CENTRAL_BANK_REGULATOR,True,False,,HIGH,,,ABS,Asset-Backed Securities
account balance,account balance,ACCOUNTING_CONCEPT,ACCOUNTING,U.S. Standard General Ledger (USSGL),https://fiscal.treasury.gov/accounting/us-standard-general-ledger-ussgl,TREASURY_USSGL,US_FEDERAL_ACCOUNTING_STANDARD,True,False,,MEDIUM,,,,
account balance,account balance,FINANCIAL_CONCEPT,FINANCE,FDIC EDIE Glossary,https://edie.fdic.gov/glossary.html,FDIC,US_FEDERAL_BANKING_AUTHORITY,True,False,,MEDIUM,,,,
account owner,account owner,ROLE,FINANCE,FDIC EDIE Glossary,https://edie.fdic.gov/glossary.html,FDIC,US_FEDERAL_BANKING_AUTHORITY,True,False,,MEDIUM,,,,
account statement,account statement,DOCUMENT,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,MEDIUM,,,,
accounting transactions,accounting transactions,ACCOUNTING_CONCEPT,ACCOUNTING,U.S. Standard General Ledger (USSGL),https://fiscal.treasury.gov/accounting/us-standard-general-ledger-ussgl,TREASURY_USSGL,US_FEDERAL_ACCOUNTING_STANDARD,True,False,,LOW,,,,
